HR,Name,DM,HD,SAO,FK5,IRFlag,r_IRFloag,Multiple,ADS,ADScomp,VarID,RAh1900,RAm1900,RAs1900,DE-1900,DEd1900,DEm1900,DEs1900,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,Vmag,n_Vmag,u_Vmag,B-V,u_B-V,U-B,u_U-B ,R-I,n_R-I,SpType,n_SpType,pmRA,pmDE,n_Parallax,Parallax,RadVel,n_RadVel,l_RotVel,RotVel,u_RotVel,Dmag,Sep,MultID,MultCnt,NoteFlag
6517,,CD-331214,158619,208921,,,,,,,,17,25,11.8,-,33,37,34,17,31,47.4,-,33,42,10,354.39,-0.05,6.44,,,1.19,,,,,,K2III,,-0.005,-0.015,,,-34,,,,,,,,,
6939,,CP-58 741,170525,245547,,,,,,,,18,24,43.3,-,58,46,35,18,33,29.5,-,58,42,33,336.54,-20.70,6.44,,,0.68,,0.18,,,,G5IV,,0.027,-0.124,,,33,,,,,,,,,*
7082,,BD+70 102,174205,9222,,,,,,,,18,44,18.3,+,70,41,14,18,43,10.2,+,70,47,34,101.44,26.18,6.44,R,,,,,,,,K2,,-0.002,-0.004,,,-5,,,,,,,,,
7542,,BD+10 405,187203,105278,,,,,,,,19,43,45.4,+,10,26,44,19,48,30.4,+,10,41,39,49.07,-7.52,6.44,,,0.96,,0.69,,,,F8Ib-II,,-0.007,-0.001,,,-5,,,28,,,,,,
7551,,BD+33 360,187459,68895,,,,,,,V1765 Cyg,19,45,1.6,+,33,11,13,19,48,50.6,+,33,26,14,68.81,3.85,6.44,,,0.20,,-0.74,,,,B0.5Ib,,0.007,-0.002,,,-10,SB2O,,126,:,,,,,*
7818,,BD+59 222,194882,32562,,,,,13850,,,20,23,0.6,+,59,16,23,20,25,5.1,+,59,36,0,94.55,12.38,6.44,,,0.09,,0.12,,,,A2IV s,,0.010,-0.007,D,0.005,-22,SB,,,,0.3,0.2,,,*
7853,,CD-381410,195814,212246,,,,,,,,20,28,24.8,-,38,25,54,20,34,55.5,-,38,5,23,3.94,-35.94,6.44,,,0.26,,,,,,A8III:,,0.018,-0.005,,,21,,,,,,,,,
7996,,BD+32 397,198820,70596,,,,,,,,20,47,56.1,+,32,28,23,20,52,0.3,+,32,50,57,75.83,-7.36,6.44,,,-0.15,,-0.62,,,,B3III,,-0.009,0.006,,,-18,V?,,,,,,,,
7998,,BD-07 543,198949,144915,,,,,,,,20,48,38.6,-,7,16,3,20,53,58.4,-,6,53,23,41.19,-30.33,6.44,,,0.37,,0.00,,,,F1IV,,0.033,-0.027,,,-8,,,67,,,,,,
8221,,BD+17 459,204560,107168,,,,,,,13738,21,24,19.0,+,17,28,9,21,28,59.9,+,17,54,21,69.67,-23.41,6.44,,,1.39,,1.64,,,,K5,,-0.015,-0.001,,,-12,,,,,,,,,
8422,,BD+44 404,209932,51640,,,,,,,,22,1,47.5,+,44,37,33,22,5,50.6,+,45,6,44,94.77,-8.52,6.44,,,-0.03,,-0.14,,,,A0V,,0.026,-0.009,,,-4,SB,,73,,,,,,
8446,,CD-281762,210300,190930,,,,,,,,22,4,18.1,-,28,47,2,22,10,0.1,-,28,17,33,21.44,-54.42,6.44,,,0.15,,,,,,A5V,,0.032,0.026,,,11,,,,,,,,,
8784,,BD+15 476,218101,108383,,,,,,,,23,0,9.8,+,16,1,45,23,5,6.3,+,16,33,47,89.29,-39.26,6.44,,,0.83,,0.55,,,,G8IV,,-0.185,-0.194,,0.025,-27,,,,,,,,,
9028,,BD+50 416,223552,35823,,,,,17032,,,23,45,22.4,+,51,3,58,23,50,22.3,+,51,37,18,113.37,-10.11,6.44,,,0.37,,-0.09,,,,F3V,,0.123,-0.015,,,-21,,,,,6.1,21.0,AB,3,
9096,,CD-241796,225069,166016,,,,,,,,23,58,0.2,-,24,42,8,0,3,7.7,-,24,8,43,45.57,-78.72,6.44,,,1.18,,,,,,G5,,0.039,0.000,,,25,,,,,,,,,
52,,BD+30   2,1075,53755,,I,,,,,,0,9,54.9,+,30,58,48,0,15,7.0,+,31,32,9,113.93,-30.70,6.45,R,,,,,,,,K5,,0.035,-0.005,,,2,,,,,,,,,
66,,BD-19   3,1343,147205,,,,,,,,0,12,28.2,-,19,36,24,0,17,32.6,-,19,3,4,77.21,-78.78,6.45,,,0.37,,,,,,F4IV-V,,0.015,0.003,,,-5,,,,,,,,,
150,,BD-15  10,3325,147360,,,,,,,,0,31,1.5,-,15,31,20,0,36,3.0,-,14,58,25,105.75,-77.33,6.45,,,1.06,,0.91,,,,G9III,,-0.083,-0.079,,,12,V?,,,,,,,,
289,,BD+46  24,6114,36875,,,,,862,,,0,57,15.9,+,46,50,20,1,3,1.5,+,47,22,34,124.97,-15.45,6.45,,,0.25,,0.09,,,,A9IV,,0.088,-0.015,,0.012,3,SB,,,,1.0,0.9,,,*
391,,BD+57  27,8272,22230,,,,,1105,,,1,16,59.5,+,57,37,21,1,23,21.6,+,58,8,35,127.14,-4.47,6.45,,,,,,,,,F4V,,0.139,-0.094,D,0.005,7,,,,,0.2,0.5,AB,4,*
540,,BD+54  40,11408,22716,,,,,,,,1,47,10.9,+,55,6,17,1,53,48.5,+,55,35,53,131.72,-6.21,6.45,,,0.18,,0.11,,0.07,,A5m,,0.049,0.001,,,8,,,57,,,,,,
719,,BD+01  43,15328,110542,,,,W,,,,2,22,50.2,+,1,30,46,2,28,0.0,+,1,57,39,165.42,-52.76,6.45,,,0.97,,0.79,,,,K0III,,-0.002,-0.012,,,18,,,,,0.4,0.5,,,
831,,BD+36  56,17484,55910,,,,,,,,2,43,12.5,+,36,54,36,2,49,27.1,+,37,19,34,147.54,-19.84,6.45,,,0.43,,0.14,,,,F6III-IV,,0.009,-0.016,,,12,SB,,17,,,,,,
839,,BD+57  65,17581,23662,,,,W,,,,2,44,15.2,+,57,54,2,2,51,45.5,+,58,18,53,138.20,-0.94,6.45,,,0.10,,0.08,,0.03,,A1m,,-0.066,0.015,,,-5,SBO,,33,,2.8,192.7,,,*
979,,BD+39  74,20283,38700,,,,,2443,,,3,10,39.1,+,40,6,53,3,17,11.4,+,40,29,0,150.73,-14.39,6.45,,,,,,,,,B9VpSi,,0.015,-0.023,D,0.004,-8,,,,,0.9,3.8,,,*
