HR,Name,DM,HD,SAO,FK5,IRFlag,r_IRFloag,Multiple,ADS,ADScomp,VarID,RAh1900,RAm1900,RAs1900,DE-1900,DEd1900,DEm1900,DEs1900,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,Vmag,n_Vmag,u_Vmag,B-V,u_B-V,U-B,u_U-B ,R-I,n_R-I,SpType,n_SpType,pmRA,pmDE,n_Parallax,Parallax,RadVel,n_RadVel,l_RotVel,RotVel,u_RotVel,Dmag,Sep,MultID,MultCnt,NoteFlag
1188,,BD+25  62,23985,76256,,,,,2799,,1366,3,44,18.1,+,25,16,40,3,50,18.9,+,25,34,46,166.10,-21.93,5.26,,,0.21,,0.08,,,,A2V+A5V,,0.038,-0.109,D,0.018,4,V,,69,,0.4,0.7,,,*
1356,58    Tau,BD+14  68,27459,93876,,,,,,,V696 Tau,4,14,55.9,+,14,51,21,4,20,36.3,+,15,5,43,179.67,-24.01,5.26,,,0.22,,0.10,,0.12,,F0V,,0.108,-0.024,,,36,SB1,,65,,,,,,*
1452,,BD-09  93,29065,131316,,I,,,,,,4,29,24.4,-,9,10,34,4,34,11.7,-,8,58,13,204.90,-34.51,5.26,,,1.47,,1.73,,,,K4III,,-0.037,-0.111,,0.010,-27,V,<,19,:,,,,,
1901,45    Ori,BD-04 118,37077,132336,,,,,4196,,,5,30,43.5,-,4,55,17,5,35,39.5,-,4,51,21,208.55,-19.06,5.26,,,0.24,,0.15,,0.14,,F0III,,0.009,0.011,,0.026,-9,V,,66,,9.0,19.1,AC,3,*
2518,,CD-37 308,49591,197215,1178,,,W,,,,6,43,56.0,-,37,49,9,6,47,21.4,-,37,55,47,247.37,-17.02,5.26,,,-0.08,,-0.25,,,,B9IV,,-0.007,-0.015,,,47,,,173,,5.8,65.4,,,
3415,,CP-57 159,73390,236105,,,,,,,,8,32,56.1,-,57,52,41,8,35,15.4,-,58,13,30,274.14,-10.52,5.26,,,-0.14,,-0.61,,-0.16,,B3V+B3Vn,,-0.032,0.006,,,21,V,,140,,,,,,*
3703,,CD-50 400,80456,236824,,,,,,,,9,14,46.1,-,50,37,49,9,18,5.8,-,51,3,4,272.64,-1.18,5.26,,,-0.07,,-0.38,,,,B7-8III,,-0.023,0.008,,,57,SB,,,,,,,,
3937,27Nu  Leo,BD+13 218,86360,98876,2800,,,,,,,9,52,50.6,+,12,55,19,9,58,13.4,+,12,26,41,224.10,46.95,5.26,,,-0.04,,-0.13,,,,B9IV,,-0.025,-0.015,,0.018,14,SB,,96,,,,,,
4084,,BD+83  29,90089,1714,911,,,,,,4864,10,18,54.9,+,83,4,3,10,31,4.6,+,82,33,31,128.03,33.13,5.26,,,0.37,,-0.05,,,,F2V,,-0.083,0.031,,0.047,7,V,,107,,,,,,
4495,92    Leo,BD+22 239,101484,81941,2936,I,,,,,,11,35,35.1,+,21,54,30,11,40,47.1,+,21,21,10,228.85,72.91,5.26,,,0.98,,0.44,?,0.48,,K1III,,-0.064,-0.049,,,9,,<,17,,,,,,
4590,,BD-18 329,104337,157042,2961,,,,,,,11,55,44.2,-,19,6,8,12,0,51.2,-,19,39,32,286.92,41.63,5.26,,,-0.20,,,,,,B1.5V,,-0.021,0.013,,,2,SBO,,119,,,,,,*
5676,48Chi Boo,BD+29 264,135502,83729,3204,,,,,,,15,10,18.2,+,29,32,7,15,14,29.2,+,29,9,51,45.16,58.52,5.26,,,0.03,,0.08,,,,A2V,,-0.066,0.030,,0.026,-16,V?,,101,,,,,,
5802,16    Ser,BD+10 288,139195,101640,,,,,,,,15,31,41.2,+,10,20,41,15,36,29.6,+,10,0,36,17.21,47.57,5.26,,,0.95,,0.67,,0.45,,K0III:CN1Ba0.7Sr2,,0.045,-0.129,,0.030,8,V,<,17,,,,,,
7587,,CP-59 755,188162,246349,,,,,,,,19,48,42.4,-,59,9,52,19,57,6.2,-,58,54,5,338.40,-31.36,5.26,,,-0.01,,,,,,B9.5IV,,0.015,-0.021,,0.022,-2,,,51,,,,,,
8104,,CD-391415,201772,212793,,,,,,,,21,6,39.2,-,39,49,55,21,13,3.1,-,39,25,31,3.10,-43.46,5.26,,,0.44,,,,,,F5IV+F6V,,0.186,-0.123,,0.029,-44,SB2,,0,,,,,,
8670,68    Aqr,BD-20 648,215721,165293,1597,I,,,,,,22,42,10.9,-,20,8,6,22,47,33.1,-,19,36,48,41.10,-60.68,5.26,,,0.94,,0.59,,,,G7III,,-0.101,-0.204,,0.034,23,,,,,,,,,
430,49    And,BD+46  37,9057,37275,,I,,,,,,1,24,6.0,+,46,29,29,1,30,6.2,+,47,0,26,129.75,-15.35,5.27,,,1.00,,0.82,,,,K0III,,0.008,-0.044,,0.015,-11,,<,19,:,,,,,
646,17Eta Ari,BD+20  34,13555,75204,,,,,,,,2,7,12.0,+,20,44,28,2,12,48.1,+,21,12,39,147.14,-37.81,5.27,,,0.43,,-0.05,,,,F5V,,0.161,0.003,,,6,V?,,9,,,,,,*
935,,BD-06  60,19349,130284,2221,I,,W,,,,3,1,36.6,-,6,28,30,3,6,33.5,-,6,5,19,185.87,-51.62,5.27,,,1.60,,1.78,,,,M3III,,0.006,-0.008,,,17,,,,,7.2,15.9,,,
1327,,BD+64  43,27022,13098,2315,,,,,,,4,11,15.6,+,64,53,47,4,20,40.3,+,65,8,26,142.72,10.66,5.27,,,0.81,,0.47,,0.43,,G5IIb,,-0.036,-0.003,,,-19,,,10,,,,,,*
1530,Kap Dor,CP-59  37,30478,233664,2354,,,,,,Var,4,42,50.5,-,59,54,58,4,44,21.1,-,59,43,58,269.44,-39.05,5.27,,,0.20,,,,,,A8-9III-IV,,0.033,0.039,,0.024,0,V,,177,,,,,,
1999,52    Ori,BD+06 102,38710,113150,,,,,4390,,,5,42,37.8,+,6,25,8,5,48,0.2,+,6,27,15,199.75,-10.98,5.27,,,0.23,,0.17,,,,A5V,,0.007,-0.019,,0.023,43,SB2,,110,,0.1,1.4,,,*
2273,7    Mon,BD-07 137,44112,133114,1170,,,S,,,,6,14,53.7,-,7,46,51,6,19,42.8,-,7,49,23,216.36,-10.59,5.27,,,-0.19,,-0.75,,,,B2.5V,,-0.004,0.000,,,29,SB,,152,,,,,,
2384,,CD-50 224,46273,234539,,,,W,,,,6,27,21.5,-,50,10,6,6,29,49.1,-,50,14,21,258.81,-23.84,5.27,,,0.41,,,,,,F2V,,-0.054,-0.058,,0.027,2,SB,,133,,0.1,0.5,AB,4,*
2398,49    Aur,BD+28 116,46553,78524,2504,,,,,,3032,6,28,54.1,+,28,6,1,6,35,12.1,+,28,1,20,186.04,9.13,5.27,,,-0.03,,-0.08,,,,A0Vnn,,-0.002,-0.015,,0.000,17,,,149,,,,,,
2447,,CD-32 321,47536,197019,,I,,,,,,6,34,2.8,-,32,15,17,6,37,47.6,-,32,20,23,241.18,-16.78,5.27,,,1.18,,1.12,,,,K2III,,0.105,0.068,,0.017,79,,,,,,,,,*
2529,36    Gem,BD+21 140,49908,78805,2530,,,,5511,,,6,45,33.4,+,21,52,45,6,51,33.0,+,21,45,40,193.38,9.76,5.27,,,-0.02,,0.01,,,,A2V,,-0.008,-0.038,,0.010,34,V,,135,,8.8,11.3,,,*
2969,,BD+50 146,61931,26488,2599,,,,,,,7,36,29.8,+,50,40,14,7,44,4.2,+,50,26,2,167.94,28.72,5.27,,,0.00,,0.00,,,,A0IIIn,,-0.005,-0.026,,0.015,0,SB,,183,,,,,,
3420,Eta Pyx,CD-25 635,73495,176189,2676,,,W,,,,8,33,35.8,-,25,54,17,8,37,52.2,-,26,15,18,248.66,8.96,5.27,,,-0.04,,,,,,A0V,,-0.020,-0.006,,0.038,31,,,203,,7.8,16.0,,,
3660,17    UMa,BD+57 121,79354,27185,,I,,,,,4427,9,8,25.4,+,57,9,22,9,15,49.9,+,56,44,29,159.52,41.98,5.27,,,1.56,,1.87,,0.88,,K5III,,-0.016,-0.031,,,-30,V?,<,19,:,,,,,
3679,,CP-55 203,79846,236749,2736,,,,,,4429,9,11,20.0,-,55,9,19,9,14,18.0,-,55,34,11,275.50,-4.72,5.27,,,0.99,,,,,,G8II-III,,-0.035,0.027,,0.015,9,,,,,,,,,*
3917,31    UMa,BD+50 169,85795,27430,2793,,,,,,SY UMa,9,49,11.4,+,50,17,31,9,55,43.0,+,49,49,12,166.65,49.63,5.27,,,0.07,,0.12,,,,A3III,,-0.003,0.022,,0.025,-6,,,147,,,,,,*
4521,,BD+56 154,102328,28142,2941,I,,,,,,11,41,34.5,+,56,11,4,11,46,55.6,+,55,37,42,140.77,59.21,5.27,,,1.27,,1.48,,0.60,,K2.5IIIbCN1Ca1,,0.014,-0.030,,,2,,<,19,:,,,,,
5299,,BD+44 232,123657,44901,1368,I,,,,,BY Boo,14,3,55.9,+,44,19,48,14,7,55.8,+,43,51,16,85.26,67.26,5.27,,,1.59,,1.66,,1.66,,M4.5:III,,0.011,-0.028,,0.024,-36,,,,,,,,,*
6021,Del2Aps,CP-78 109,145388,257381,,,,W,,B,,16,5,30.7,-,78,24,57,16,20,26.8,-,78,40,2,312.44,-19.88,5.27,,,1.41,,1.62,,0.56,E,K3III,,-0.007,-0.025,,0.020,-10,,,,,0.4,102.9,AB,3,*
6109,Iot TrA,CP-63 392,147787,253555,,,,W,,,,16,18,39.7,-,63,49,50,16,27,57.3,-,64,3,29,324.06,-10.48,5.27,,,0.36,,-0.02,,,,F4IV,,0.046,0.027,,0.029,-5,SBO,,0,,4.1,19.6,,,*
6860,105    Her,BD+24 338,168532,85921,3457,I,,,,,,18,15,3.7,+,24,24,16,18,19,10.7,+,24,26,46,51.92,17.60,5.27,,,1.53,,1.74,,0.79,,K3III:Ba0.4,,0.009,0.006,,-0.002,-14,SBO,,,,,,,,*
7117,,BD+73  83,174980,9241,,,,,,,,18,48,16.3,+,73,58,11,18,45,46.7,+,74,5,8,105.11,26.39,5.27,,,0.92,,0.80,,,,K0II-III,,0.005,0.077,,0.020,3,V,<,17,,,,,,
7181,,BD+26 341,176527,86673,,I,,,,,,18,55,41.0,+,26,5,31,18,59,45.5,+,26,13,50,57.41,9.94,5.27,,,1.24,,1.27,,,,K2III,,0.088,-0.008,,-0.002,-24,SB,<,17,,,,,,
7497,47Chi Aql,BD+11 395,186203,105168,,,,,12808,,12325,19,37,51.6,+,11,35,28,19,42,34.0,+,11,49,36,49.34,-5.70,5.27,,,0.57,,-0.04,,,,G0:III+A3V,,-0.001,-0.007,,0.006,-22,SB,,0,,1.2,0.4,AB,5,*
7676,64    Dra,BD+64 140,190544,18658,3604,I,,W,,,,20,0,25.0,+,64,32,27,20,1,28.5,+,64,49,16,97.77,17.38,5.27,,,1.56,,1.81,,,,M1III-IIIb,,0.007,-0.012,,0.006,-34,,,,,,193.8,,,
8426,20    Cep,BD+62 202,209960,19847,830,I,,,,,Var?,22,1,58.0,+,62,17,52,22,5,0.5,+,62,47,8,105.16,5.81,5.27,,,1.41,,1.78,,,,K4III,,0.015,0.058,,0.000,-21,V?,<,17,,,,,,*
8546,,BD+85  38,212710,3721,1648,,,,,,,22,21,17.8,+,85,36,17,22,13,10.6,+,86,6,29,120.22,24.10,5.27,,,-0.03,,-0.11,,,,B9.5Vn,,0.052,0.045,,0.006,4,SB2,,219,,,,,,
30,Gam3Oct,CP-82,636,258215,3971,,,,,,,0,5,30.4,-,82,46,48,0,10,2.1,-,82,13,26,304.63,-34.77,5.28,,,1.05,,0.92,,,,G8III,,-0.029,-0.020,,,15,,,,,,,,,
456,40    Cas,BD+72   8,9774,4453,51,,,,1268,,567,1,30,30.9,+,72,31,49,1,38,30.9,+,73,2,24,126.40,10.49,5.28,,,0.96,,0.72,,,,G8III,,-0.013,-0.015,,0.017,-5,V,<,19,:,6.4,53.3,,,
652,Mu  For,CD-31  88,13709,193573,78,,,,,,,2,8,30.2,-,31,11,34,2,12,54.5,-,30,43,26,229.19,-71.84,5.28,,,-0.02,,-0.06,,,,B9V,,0.018,0.006,,0.064,10,V,,,,,,,,
655,7    Tri,BD+32  40,13869,55397,,,,,,,,2,10,1.2,+,32,53,39,2,15,56.2,+,33,21,32,142.55,-26.27,5.28,,,-0.01,,-0.03,,,,A0V,,-0.017,-0.038,,,-1,V,,122,,,,,,
689,69    Cet,BD-00  35,14652,110495,,I,,,,,805,2,16,49.1,-,0,3,40,2,21,56.6,+,0,23,45,164.95,-54.92,5.28,,,1.65,,1.87,,,,M2III,,-0.013,-0.007,,,23,,,,,,,,,
776,Mu  Hyi,CP-79   6,16522,255898,90,,,,,,,2,33,47.1,-,79,32,45,2,31,40.5,-,79,6,34,297.19,-36.88,5.28,,,0.98,,0.73,,,,G8III,,0.121,-0.056,,0.001,-15,,,,,,,,,
890,,BD+51  66,18537,23763,,,,,2270,A,,2,53,44.3,+,51,57,15,3,0,52.2,+,52,21,6,142.11,-5.63,5.28,,,-0.05,,-0.45,,,,B7V,,0.028,-0.026,,,-5,SB,,210,,1.4,11.9,,,*
1005,61Tau1Ari,BD+20  54,20756,75886,1094,,,W,,,,3,15,27.1,+,20,47,12,3,21,13.6,+,21,8,49,163.66,-29.64,5.28,,,-0.07,,-0.52,,,,B5IV,,0.025,-0.024,,,14,V,,20,,2.5,0.2,O,3,*
1210,43    Per,BD+50  86,24546,24314,,I,,W,,,,3,49,10.1,+,50,24,21,3,56,36.5,+,50,41,43,150.20,-2.10,5.28,,,0.41,,0.00,,,,F5IV,,0.091,-0.130,,0.036,27,SB2O,<,17,,4.8,75.3,AB,4,*
1244,35    Eri,BD-01  57,25340,130878,1111,,,,,,,3,56,27.9,-,1,49,47,4,1,32.0,-,1,32,59,191.88,-37.81,5.28,,,-0.15,,-0.55,,,,B5V,,0.025,-0.016,,,17,V,,179,,,,,,*
1388,67Kap2Tau,BD+21  64,27946,76602,,,,,3201,,1594,4,19,27.4,+,21,58,17,4,25,25.0,+,22,11,59,174.65,-18.54,5.28,,,0.25,,0.10,,0.14,,A7V,,0.109,-0.054,,,32,V,,153,,0.0,0.1,O,6,*
1390,,BD+31  77,27971,57229,2325,,,,,,,4,19,44.2,+,31,12,48,4,26,6.3,+,31,26,20,167.62,-12.24,5.28,,,0.97,,0.80,,,,K1III,,0.076,-0.110,,,28,V,<,19,:,,,,,
1751,16    Cam,BD+57  87,34787,25161,2402,,,W,,,,5,14,54.2,+,57,26,50,5,23,27.8,+,57,32,40,153.49,11.88,5.28,,,-0.03,,-0.07,,,,A0Vn,,0.013,-0.055,,0.023,12,SB,,268,,7.7,106.2,,,
2786,,CD-26 416,57146,173453,,I,,,,,,7,14,46.9,-,26,24,11,7,18,51.2,-,26,35,9,239.65,-6.26,5.28,,,0.96,,0.65,,,,G2Ib,,-0.017,0.008,,0.017,32,V,,,,,,,,*
3315,,CD-23 727,71176,175783,1221,I,,,6800,A,,8,20,44.6,-,23,43,18,8,25,3.7,-,24,2,46,245.15,7.88,5.28,,,1.48,,1.83,,,,K5III+K1III,,-0.028,0.026,,0.031,26,SB,,,,3.5,41.0,,,*
3995,,CP-65 124,88323,250836,,,,W,,,,10,5,55.3,-,65,19,32,10,8,42.6,-,65,48,55,287.29,-8.02,5.28,,,0.98,,0.75,,,,K0III,,-0.072,0.042,,-0.014,0,,,,,4.2,63.3,,,
4017,,CD-50 492,88824,237804,,,,,,,,10,9,31.1,-,50,44,13,10,13,22.8,-,51,14,0,279.38,4.27,5.28,,,0.25,,,,,,A7V,,-0.041,-0.026,,,48,,,181,,,,,,
4893,,BD+84  29,112028,2102,,,,,8682,A,,12,48,23.1,+,83,57,24,12,49,13.6,+,83,24,46,123.01,33.72,5.28,,,-0.03,,-0.06,,,,A1IIIShell,,-0.029,0.020,,0.001,2,V,,275,,0.5,21.6,AB,3,*
6721,Chi Oct,CP-87  27,164461,258799,922,,,,,,,17,56,1.9,-,87,39,51,18,54,46.9,-,87,36,21,305.62,-27.14,5.28,,,1.28,,1.60,,,,K3III,,-0.039,-0.139,,,34,,,,,,,,,
6738,96    Her,BD+20 364,164852,85672,,,,,,,V820 Her,17,58,6.5,+,20,50,0,18,2,23.1,+,20,50,1,46.83,19.81,5.28,,,-0.09,,-0.61,,,,B3IV,,0.005,-0.010,,0.004,-15,SB2O,,205,,,,,,*
6960,,CD-331333,171034,210312,3471,,,,,,,18,27,24.1,-,33,5,26,18,33,57.8,-,33,1,0,1.35,-11.05,5.28,,,-0.11,,-0.69,,,,B2IV-V,,0.004,-0.010,,,4,V,,172,,,,,,*
7262,18Iot Lyr,BD+35 348,178475,67834,719,,,S,,,,19,3,43.9,+,35,56,36,19,7,18.1,+,36,6,1,67.23,12.65,5.28,,,-0.11,,-0.51,,,,B6IV,,0.001,-0.004,,,-18,V,,250,,,,,,*
7315,25Ome1Aql,BD+11 379,180868,104691,725,,,,,,,19,13,7.3,+,11,24,54,19,17,49.0,+,11,35,43,46.24,-0.49,5.28,,,0.20,,0.22,,,,F0IV,,0.003,0.013,,0.014,-14,V,,113,,,,,,
7610,61Phi Aql,BD+11 405,188728,105438,3590,,,,,,,19,51,30.1,+,11,9,29,19,56,14.3,+,11,25,26,50.66,-8.80,5.28,,,-0.01,,-0.08,,,,A1IV,,0.034,0.009,,0.023,-27,SB1O,,26,,,,,,*
7761,7Sig Cap,BD-19 577,193150,163445,3625,I,,,13675,,,20,13,37.4,-,19,25,50,20,19,23.6,-,19,7,7,24.48,-27.66,5.28,,,1.40,,1.53,,,,K3II,,0.009,-0.009,,0.025,-11,V,,,,3.5,56.5,,,
8128,29    Cap,BD-15 593,202369,164263,,I,,,,,13620,21,10,12.8,-,15,35,14,21,15,44.9,-,15,10,17,34.86,-38.69,5.28,,,1.64,,1.90,,1.08,E,M3III,,0.027,0.005,,0.000,-38,V,,,,,,,,*
8987,,BD-16 634,222643,165841,,I,,,,,,23,37,17.0,-,16,0,8,23,42,27.9,-,15,26,52,65.53,-70.18,5.28,,,1.37,,1.49,,,,K4III,,0.025,-0.008,,0.015,7,SB,<,17,,,,,,*
336,31    Cas,BD+68   7,6829,11612,2074,,,W,,,,1,3,53.1,+,68,14,47,1,10,39.3,+,68,46,43,124.68,5.97,5.29,,,-0.02,,-0.06,,,,A0Vnn,,0.036,-0.031,,0.017,1,V,,215,,,,,,*
717,12    Tri,BD+29  41,15257,75382,1068,,,,,,,2,22,18.0,+,29,13,23,2,28,10.0,+,29,40,10,146.86,-28.67,5.29,,,,,0.10,,,,F0III,,-0.015,-0.087,,,-25,V,,78,,,,,,
1011,,BD+48  89,20809,38768,,,,,,,,3,16,7.8,+,48,51,20,3,23,13.2,+,49,12,48,146.78,-6.50,5.29,,,-0.07,,-0.54,,,,B5V,,0.022,-0.020,,,4,SB?,,244,,,,,,*
1309,46    Tau,BD+07  61,26690,111672,,,,,3064,,,4,8,9.9,+,7,27,38,4,13,33.1,+,7,42,58,184.93,-29.96,5.29,,,0.36,,0.01,,0.19,,F2V+F5V,,-0.002,0.006,,0.030,4,SB2?,,58,,0.2,0.1,,,*
1494,59    Per,BD+43 104,29722,39699,2349,,,,,,,4,35,48.5,+,43,10,29,4,42,54.3,+,43,21,54,160.95,-1.78,5.29,,,0.00,,0.02,,,,A1Vn,,0.039,-0.052,,0.018,9,V,,197,,,,,,
1973,,CD-34 240,38170,196098,,,,,,,,5,38,40.0,-,34,43,0,5,42,15.1,-,34,40,4,239.62,-28.49,5.29,,,-0.05,,,,,,B9.5V,,-0.008,0.051,,,35,,,41,,,,,,
1993,133    Tau,BD+13  97,38622,94864,2433,,,,4381,,,5,42,2.6,+,13,51,48,5,47,42.9,+,13,53,59,193.17,-7.33,5.29,,,-0.17,,-0.66,,,,B2IV-V,,0.002,-0.012,,-0.002,29,,,70,,6.1,24.9,AC,3,*
2094,,CP-52  80,40292,234199,,,,,,,,5,52,37.9,-,52,39,27,5,54,50.2,-,52,38,7,260.32,-29.63,5.29,,,0.31,,0.00,?,,,F0VDel Del,,-0.005,0.248,,0.034,27,,,0,,,,,,*
2405,,BD+38 153,46687,59280,,I,,W,,,UU Aur,6,29,40.3,+,38,31,34,6,36,32.9,+,38,26,43,176.52,13.78,5.29,,,2.61,,,,1.43,,C5II,,0.005,-0.026,,0.005,12,,,,,5.6,17.9,,,*
2504,11    CMa,BD-14 158,49229,151919,,,,,,,,6,42,17.3,-,14,19,7,6,46,51.1,-,14,25,33,225.33,-7.52,5.29,,,-0.04,,-0.25,,,,B9III,,-0.002,0.012,,,15,V,,245,,,,,,
3110,14    CMi,BD+02 183,65345,116182,,,,W,,,,7,53,9.5,+,2,29,29,7,58,20.6,+,2,13,29,218.70,15.88,5.29,,,0.92,,0.71,,,,K0III,,-0.158,0.099,,0.027,46,,<,19,:,3.0,88.6,AB,4,
3334,Eta Vol,CP-72  69,71576,256505,2653,,,W,,,,8,22,58.5,-,73,4,35,8,22,4.4,-,73,24,0,286.66,-19.82,5.29,,,0.01,,-0.01,,,,A0-1IV-V,,-0.034,0.031,,0.010,20,,,,,6.3,42.4,AC,3,
3486,,BD-01 213,74988,136276,2693,,,,,,,8,42,10.8,-,1,31,50,8,47,15.0,-,1,53,50,228.89,24.55,5.29,,,0.04,,0.08,,,,A3V,,-0.033,0.004,,0.020,2,SB,,170,,,,,,
3720,,CP-74  57,80951,256599,,,,W,,,,9,17,36.1,-,74,28,21,9,17,25.4,-,74,53,40,290.24,-17.59,5.29,,,0.02,,0.04,,,,A1V,,-0.015,0.030,,,11,,,0,,0.5,0.2,AB,4,*
4120,,CP-63 144,91056,250979,,,,,,,,10,25,33.0,-,63,39,38,10,28,52.6,-,64,10,20,288.16,-5.47,5.29,,,1.86,,2.10,,,,M0III,,-0.013,0.006,,0.010,-3,,,,,,,,,*
4519,,CD-44 756,102232,223009,,,,,,,5317,11,40,46.9,-,45,8,6,11,45,43.9,-,45,41,24,291.09,15.67,5.29,,,-0.12,,-0.55,,-0.04,C,B6III,,-0.047,0.009,,,-10,V?,,56,,,,,,
4690,3    CVn,BD+49 213,107274,44127,1316,I,,,,,,12,14,53.2,+,49,32,21,12,19,48.7,+,48,59,3,136.46,67.31,5.29,,,1.66,,1.97,,1.06,,M0III,,-0.012,0.007,,,8,V,,,,,,,,
4752,17    Com,BD+26 235,108662,82330,,,,,8568,A,AI Com,12,23,55.0,+,26,27,59,12,28,54.7,+,25,54,46,225.22,84.82,5.29,,,-0.05,,-0.12,,-0.08,,A1IVp,,-0.025,-0.020,,0.021,-3,V,,18,,1.4,145.4,AB,3,*
5330,15    Boo,BD+10 265,124679,100934,3131,I,,W,,,,14,9,56.9,+,10,34,18,14,14,50.8,+,10,6,2,356.00,64.00,5.29,,,1.00,,0.77,,0.50,,K1III,,-0.028,-0.167,,,17,V?,<,19,:,2.6,1.1,,,*
6199,,BD+56 190,150449,30026,3320,I,,,,,,16,35,59.1,+,56,12,39,16,38,0.4,+,56,0,56,84.94,40.67,5.29,,,1.08,,0.90,,0.52,,K1III,,0.000,0.066,,0.015,-19,V?,<,17,,,,,,
6314,Eps2Ara,CP-53 831,153580,244388,,,,W,,,,16,55,9.2,-,53,5,12,17,3,8.8,-,53,14,13,335.41,-7.06,5.29,,,0.48,,,,,,F6V,,-0.003,-0.144,,0.039,7,,,58,,7.6,25,,,
6477,,CD-451153,157661,227971,,,,W,,,8637,17,19,28.8,-,45,45,12,17,26,51.5,-,45,50,37,343.72,-5.94,5.29,,,-0.07,,-0.34,,-0.03,C,B7V+B9.5V,,-0.040,-0.040,D,0.009,-9,V?,,,,0.8,2.3,AB,3,*
8229,Xi  Gru,CD-411455,204783,230726,3719,,,,,,,21,25,46.1,-,41,37,12,21,32,5.9,-,41,10,45,0.56,-47.08,5.29,,,1.10,,1.01,,,,K0III,,0.018,0.015,,0.012,-8,,,,,,,,,
8280,Lam Oct,CP-83  72,206240,258914,,,,W,,,,21,35,36.4,-,83,10,44,21,50,54.3,-,82,43,9,309.02,-32.13,5.29,,,0.75,,0.47,,,,G8-K0III,,0.058,-0.036,D,0.011,-11,,,,,2.3,2.8,,,*
8321,12    Peg,BD+22 447,207089,89972,3739,I,,,,,,21,41,28.2,+,22,29,16,21,46,4.4,+,22,56,56,76.64,-22.83,5.29,,,1.41,,1.33,,,,K0IbHdel 0.5,e,0.010,-0.005,,0.006,-12,,,,,,,,,*
8344,13    Peg,BD+16 461,207652,107425,,,,W,,,13891,21,45,23.1,+,16,49,14,21,50,8.7,+,17,17,8,72.97,-27.52,5.29,,,0.37,,0.03,,0.18,,F2III-IV,,0.076,-0.061,,0.015,-4,V,,71,,2.0,0.2,,,*
8416,18    Cep,BD+62 202,209772,19828,,I,,,,,MO Cep,22,0,53.1,+,62,38,0,22,3,52.9,+,63,7,11,105.26,6.15,5.29,,,1.58,,1.79,,1.26,E,M5IIIab,,0.031,0.055,,-0.006,-4,,,,,,,,,*
8515,Nu  Ind,CP-72 269,211998,258033,,,,W,,,,22,16,2.0,-,72,44,29,22,24,36.8,-,72,15,20,316.86,-40.67,5.29,,,0.65,,-0.06,,0.41,E,A3V:+F9V,,1.299,-0.678,,0.031,21,V?,,,,0.1,0.1,,,*
9002,107    Aqr,BD-19 650,223024,165867,,,,,16979,A,,23,40,49.3,-,19,14,3,23,46,0.9,-,18,40,41,58.82,-72.75,5.29,,,0.28,,0.14,,,,F2III+F2V,,0.134,0.030,,0.012,-2,,,83,,1.0,6.6,,,*
670,62    And,BD+46  55,14212,37948,1063,,,,,,,2,12,49.4,+,46,55,7,2,19,16.8,+,47,22,48,137.99,-12.91,5.30,,,-0.01,,0.00,,,,A1V,,-0.059,-0.008,,0.015,-30,V,,74,,,,,,
758,,BD+33  47,16210,,,,,,,,R Tri,2,30,57.7,+,33,49,53,2,37,2.5,+,34,15,50,146.59,-23.71,5.3,,,1.55,,0.84,,,,M4IIIe,,0.058,-0.029,,0.008,67,V,,,,,,,,*
782,33    Ari,BD+26  44,16628,75510,,,,,2033,,,2,34,50.2,+,26,37,54,2,40,41.1,+,27,3,39,151.02,-29.79,5.30,,,0.09,,0.13,,,,A3V,,0.067,-0.031,,0.002,17,SB,,104,,4.2,28.6,,,*
1511,4    Cam,BD+56  97,30121,24829,175,,,,3432,,,4,39,40.2,+,56,34,47,4,48,0.3,+,56,45,26,151.27,7.54,5.30,,,0.25,,0.15,,0.08,,A3m,,0.050,-0.148,,0.013,19,,,63,,7.5,99.0,AC,3,*
1658,106    Tau,BD+20  88,32977,76971,2383,,,,,,,5,1,53.2,+,20,17,12,5,7,48.4,+,20,25,6,182.40,-11.85,5.30,,,0.09,,0.10,,,,A5V,,-0.047,-0.034,,0.007,-2,V,,95,,,,,,*
1757,7Nu  Lep,BD-12 113,34863,150345,,,,,,,,5,15,20.5,-,12,25,5,5,19,59.1,-,12,18,56,214.00,-25.79,5.30,,,-0.12,,-0.40,,,,B7IVnn,,-0.006,0.009,,,16,,,370,,,,,,
2223,72    Ori,BD+16 106,43153,95447,,,,,,,,6,9,39.1,+,16,10,26,6,15,25.1,+,16,8,35,194.51,-0.40,5.30,,,-0.14,,-0.46,,,,B7V,,0.003,-0.012,,,22,V,,91,,,,,,
2595,,BD-22 160,51283,172588,,,,,,,,6,51,34.4,-,22,48,44,6,55,46.8,-,22,56,29,234.01,-9.33,5.30,,,-0.18,,-0.80,,,,B3II-III,,-0.017,0.003,,,38,,,248,,,,,,*
2820,1    CMi,BD+11 157,58187,96871,,,,,,,,7,19,24.8,+,11,51,56,7,24,58.2,+,11,40,11,206.17,12.67,5.30,,,0.10,,0.13,,,,A5IV,,-0.017,-0.014,,0.015,-1,V?,,165,,,,,,
3008,11    CMi,BD+11 167,62832,97224,1201,,,,,,3724,7,40,45.9,+,11,0,43,7,46,16.2,+,10,46,6,209.33,17.00,5.30,,,0.01,,-0.02,,,,A1Vnn,,-0.029,-0.024,,0.022,28,SB,,249,,,,,,
